rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
2618,defendant nos.1,2,3,3,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"As to possession of defendant Nos.1 and 2, the Court held that defendant Ganpat was found to be in possession of the suit land but he could not produce any evidence to show as to how his possession could be said to be lawful."
2619,counter claim,1,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,There are claims and counter claims in regard to voluntary acceptance of compensation amount/SRG by the oustees of those 5 villages.
2620,king 's bench,3,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The essence of mandamus in England was that it was a royal command issued by the King's Bench (now Queen's Bench) directing performance of a public legal duty.
2621,standard form contract,1,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"It was held that a term introduced in a standard form contract can be unfair, as to constitute an unfair trade practice 19 under the Consumer Protection Act, 1986, and observed as follows: “A term of a contract will not be final and binding"
2622,person order,1,3,3,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"They may be tabulated for easy appreciation as follows: Application Filed by Provision of law under Prayer in the application Number which filed 585 of 2002 34 persons Order 21, Rule 97 to To adjudicate and allow their 101 r/w section 151, "
2623,hindu religious endowments board,1,3,3,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"The Inam Title Deed dated 29.11.1860 and the Inam Fair Register extract came up for consideration in Original Suit No. 314 of 1941 before District Munsiff's Court, Tenali, to which the respondent temple as well as the Hindu Religious Endowm"
2624,application before the district,1,3,3,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2625,road building,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"In other words, it cannot tax litigation and make litigations pay, say for road building or education ,or other beneficial schemes that a State may have."
2626,attest witness,2,3,3,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"There were two attesting witnesses to the will, namely, B. Hirji and M. B. Mistry who was the husband of Mrs. Shirinbai (Defendant No. 1)."
2627,suit claim,2,3,3,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"The way in which the suit claim has been valued and court-fee paid, demonstrates very clearly that it was not a suit for declaration of title to any property."
2628,high court ’s order,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Some members of another society by name Set-win Employees Housing Cooperative Society and 33 members of Sri Satya Sai Co-operative Housing Society Ltd. filed ‰ OSA Nos.10, 11 and 20 of 1996 questioning the High Court’s order dated 28.12.199"
2629,respondent 's petition,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Dismissing the appeal, the Court ^ HELD : 1.2 : The respondent's petition under Art."
2630,sale tax authority,1,3,3,"spacy,textacy",1,informative,FORUM-AUTHORITY,SALE-CONTRACT,ACTOR,,"The sales tax authorities of West Bengal sought to levy tax on the sales of motor spirit as aforesaid under the provisions of the Bengal Motor Spirit Sales Taxation Act, 1941, as amended."
2631,schedule tribe family,1,3,3,spacy,1,informative,STATUTE-PROVISION,,RULE,,"(x) The Government had not made any attempt to provide any grant-in-aid to cover up the gap between the amount of compensation and the actual cost of land available for the purpose, particularly to all displaced Scheduled Castes and Schedul"
2632,retrospective application,1,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"To reiterate, it would come into effect only from the appointed day, and therefore has got no retrospective application."
2633,allotment order dt,1,3,3,textacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2634,land bank,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"As the SRG comes into operation after the PAFs showed unwillingness to accept the land from the land bank and the PAFs want complete freedom for getting land of their choice, so land for land option has not been exercised by the PAFs and in"
2635,hearing fee,3,3,3,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,One hearing fee.
2636,tax audit,1,3,3,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,The Council has prescribed maximum limit for statutory audit and tax audit which a member in practice can undertake in a year.
2637,outside state,1,3,3,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In his opinion, the sale being completed within the State of West Bengal both as regards contract and delivery, the fiction could not be held applicable, because no "" outside "" State was involved, even though the aircraftmight have to consu"
2638,final notification,2,3,3,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,The learned Solicitor General did not have any objection to the same and submitted that the suggestions would be incorporated in the final notification.
2639,indian income tax act,3,3,3,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"Those were References Under Section 66(2) of the Indian Income-tax Act, 1922 (which for the sake of brevity will hereinafter be referred to as 'the Act')."
2640,unfettered power,2,3,3,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"And on 19 September, 1977 adopted a 'high and mighty' attitude and staked its defence solely on the claim to unfettered power to transfer a High Court Judge under Article 222, Clause (1) and that does lend credibility to the argument that t"
2641,dam site,1,3,3,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"For the dam site, a huge area of land had been acquired under the provisions of the Land Acquisition Act, 1894 (hereinafter called as `Act 1894')."
2642,labour court ahmedabad,1,2,2,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Subject to this, the order of the Second Labour Court Ahmedabad dated 9th August, 1963 passed in Application No. 2005 of 1962 and the order of the Industrial Court, Ahmedabad dated 5th February, 1964 passed in Appeal (I.C)"
2643,tax under the other provision,1,2,2,yake,1,informative,STATUTE-PROVISION,,RULE,,
2644,forest protection,1,2,2,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In Attorney-General for British Columbia v. Esquimalt and Nanaimo Railway Company & (1), a case from Canada, question (7) was put thus : ""Is the Esquimalt and Nanaimo Railway liable to tax (so-called) for forest protection imposed by s. 123"
2645,tender document,1,2,2,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Officer to be appointed by the authority mentioned in the tender documents.
2646,cinematograph act,2,2,2,spacy,1,informative,STATUTE-PROVISION,,RULE,,"When we look at the various provisions of the Cinematograph Act, 1952 and the Rules made thereunder, the Delhi Building Regulations and the Electricity laws the duty of care on officials was high and liabilities strict.”"
2647,wildlife and related issue,1,2,2,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Pursuant to the above referred orders dated 18.05.2023 and 18.08.2023, the MoEFCC issued a Notification dated 05.09.202321 under Section 3(3) of the Environment (Protection) Act to constitute a permanent authority, i.e., the Central Empower"
2648,partial either as to person,1,2,2,yake,1,informative,PARTY-ACTOR,,ACTOR,,
2649,high court rightly refuse,2,2,2,rake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2650,general public revenue,1,2,2,spacy,1,informative,PARTY-ACTOR,REVENUE-TENURE,ACTOR,,"But one thing the legislature is not competent to do, and that is to make litigants contribute to the increase of general public revenue."
2651,hearing fee one set,2,2,2,rake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2652,desalination process,1,2,2,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Facts would indicate that there is no generation of air emission, solid waste and effluent are flowing from the desalination process except rejects (which also called brine) which is nothing but concentrated sea water which remains after de"
2653,sub contract,1,2,2,spacy,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"Stone Khanji Udyog Pvt. Ltd. , paras 24 to 28; State of Karnataka vs. Selvi J. Jayalalitha , paras 205 to 211 which is violated by using the technique of sub contracts for outsourcing."
2654,net value of a business,1,2,2,yake,1,informative,MONETARY-VALUATION,,EVIDENCE,,
2655,gujarat state electricity board,1,2,2,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
2656,governor ’s power,1,2,2,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,The second question which falls for consideration is whether the Bihar Regulation I of 1951 is in excess of the Governor’s powers.
2657,plaintiff nos,2,2,2,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Mrs. Patel and Mrs. Chinimini also legatees under the Will? III) Are the plaintiffs Nos. 1 and 2 or defendants L. J. D. Motishaw, Mrs. A. K. Capoor, and Mrs. H. S. N. Talati heirs of the deceased Mr. C. D. Motishaw and are they entitled to "
2658,magistrate merely on the ground,1,2,2,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2659,relevant issue,2,2,2,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"However, it will be subject to the decision on another relevant issue regarding submergence of the land in dispute permanently or temporarily which is to be considered hereinafter."
2660,different law,1,2,2,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"Party autonomy being the brooding and guiding spirit in arbitration, the parties are free to agree on application of three different laws governing their entire contract – (1) proper law of contract, (2) proper law of arbitration agreement "
2661,direct or circumstantial evidence,1,2,2,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"It is for the accused respondent to rebut the presumption, by adducing direct or circumstantial evidence, that the money recovered was not a reward or motive as mentioned under Section 7 of the P.C. Act. 11."
2662,people 's representative,1,2,2,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"For democracy to survive, it is essential that the best available men should be chosen as people's representatives for proper governance of the country."
2663,anand marriage act,1,2,2,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The Anand Marriage Act, 1909."
2664,interim or palliative compensation,1,2,2,spacy,1,informative,PROCEDURE-RELIEF,LAND-ACQUISITION,PROCEDURAL,,"It was contended that as what was awarded was an interim or palliative compensation, the High Court could not have assumed the monthly income of each adult who died as being not less than Rs 15,000 and then determining the compensation by a"
2665,bona fide dispute,2,2,2,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"Upon the settlement of the final account there arose a bona fide dispute of a substantial character between the contractor and the engineer, who was the arbitrator under the contract, involving a probable conflict of evidence between, them."
2666,court as the case,2,2,2,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
2667,trap party,1,2,2,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The trap party consisting of P.W.8, two mediators, two inspectors and two constables, left the Guest House in a Jeep while the complainant, P.W.1 and P.W.2 went on a motorcycle."
2668,appellant municipality,1,2,2,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,It was contended for the appellant Municipality that the entire pathway between the two drains stood dedicated to the public; and the fact that only a part of the pathway was metalled would not detract from the totality of the dedication.
2669,mauji ram gupta 's application,1,2,2,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"District Magistrate, respondent No. 4 by his Order dt. 25.2.76 rejected Mauji Ram Gupta's application and allotted the premises to H.C. Ghildiyal, but he did not occupy the premises; instead he informed respondent no. 4 that he did not requ"
